Date,Open,High,Low,Close,Adj Close,Volume
2017-10-26,11.100000,11.180000,11.020000,11.060000,11.060000,22000
2017-10-27,null,null,null,null,null,null
2017-10-30,null,null,null,null,null,null
2017-10-31,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-11-02,null,null,null,null,null,null
2017-11-03,null,null,null,null,null,null
2017-11-06,null,null,null,null,null,null
2017-11-07,null,null,null,null,null,null
2017-11-08,null,null,null,null,null,null
2017-11-09,13.000000,14.700000,13.000000,13.500000,13.500000,42527100
2017-11-10,14.040000,14.690000,13.680000,13.850000,13.850000,12580400
2017-11-13,14.000000,14.070000,13.660000,13.820000,13.820000,4344900
2017-11-14,13.700000,13.840000,13.000000,13.000000,13.000000,8635100
2017-11-15,12.880000,13.000000,12.500000,12.690000,12.690000,6820800
2017-11-16,12.890000,13.350000,12.850000,13.270000,13.270000,2799800
2017-11-17,13.300000,13.600000,13.190000,13.190000,13.190000,3289000
2017-11-20,13.430000,13.589000,13.270000,13.550000,13.550000,1716500
2017-11-21,13.650000,13.770000,13.560000,13.700000,13.700000,2305800
2017-11-22,13.750000,13.820000,13.510000,13.550000,13.550000,2094200
2017-11-24,13.670000,13.670000,12.820000,13.050000,13.050000,2386000
2017-11-27,13.010000,13.380000,12.950000,13.050000,13.050000,1575300
2017-11-28,13.050000,13.230000,12.860000,12.920000,12.920000,1722000
2017-11-29,13.000000,13.050000,12.100000,13.050000,13.050000,3824000
2017-11-30,12.690000,12.790000,12.220000,12.300000,12.300000,3321200
2017-12-01,12.350000,12.410000,11.000000,11.160000,11.160000,3688700
2017-12-04,11.670000,11.680000,10.850000,11.000000,11.000000,3490500
2017-12-05,11.000000,11.930000,11.000000,11.700000,11.700000,2113500
2017-12-06,11.530000,11.560000,11.300000,11.430000,11.430000,1549600
2017-12-07,11.680000,11.960000,11.530000,11.630000,11.630000,1377000
2017-12-08,11.700000,11.880000,11.570000,11.650000,11.650000,644800
2017-12-11,11.990000,12.097000,11.720000,11.940000,11.940000,1117700
2017-12-12,12.000000,12.050000,11.580000,11.670000,11.670000,714100
2017-12-13,11.610000,11.760000,11.380000,11.400000,11.400000,900900
2017-12-14,11.460000,11.470000,11.025000,11.100000,11.100000,896700
2017-12-15,11.150000,11.320000,11.050000,11.190000,11.190000,532800
2017-12-18,11.220000,11.580000,11.220000,11.370000,11.370000,1026700
2017-12-19,11.680000,11.870000,11.500000,11.720000,11.720000,1259800
2017-12-20,11.850000,11.880000,11.420000,11.610000,11.610000,1102100
2017-12-21,11.700000,11.800000,11.450000,11.600000,11.600000,866600
2017-12-22,11.640000,11.790000,11.460000,11.660000,11.660000,619200
2017-12-26,11.700000,11.880000,11.660000,11.720000,11.720000,464200
2017-12-27,11.720000,12.000000,11.710000,11.810000,11.810000,659000
2017-12-28,11.800000,11.840000,11.610000,11.740000,11.740000,379200
2017-12-29,11.700000,11.720000,11.486000,11.570000,11.570000,1162200
2018-01-02,11.550000,11.920000,11.550000,11.900000,11.900000,915600
2018-01-03,12.000000,12.010000,11.700000,11.900000,11.900000,1221000
2018-01-04,12.000000,12.280000,11.980000,12.170000,12.170000,2175400
2018-01-05,12.230000,12.750000,12.230000,12.530000,12.530000,1946500
2018-01-08,12.670000,13.000000,12.665000,12.820000,12.820000,2522200
2018-01-09,12.980000,13.000000,12.600000,12.620000,12.620000,1786800
2018-01-10,12.550000,12.730000,12.260000,12.610000,12.610000,1240400
2018-01-11,12.580000,12.800000,12.413000,12.460000,12.460000,865300
2018-01-12,12.590000,12.630000,12.200000,12.330000,12.330000,1041600
2018-01-16,12.400000,12.530000,12.040000,12.160000,12.160000,1423000
2018-01-17,12.130000,12.190000,11.640000,11.750000,11.750000,1918600
2018-01-18,11.740000,11.780000,11.450000,11.470000,11.470000,1761600
2018-01-19,11.580000,11.990000,11.420000,11.440000,11.440000,1500500
2018-01-22,11.480000,11.506000,11.100000,11.180000,11.180000,2086200
2018-01-23,11.840000,11.840000,11.250000,11.290000,11.290000,2114000
2018-01-24,11.430000,11.850000,11.420000,11.620000,11.620000,1975900
2018-01-25,12.160000,12.160000,11.450000,11.530000,11.530000,2119800
2018-01-26,11.620000,12.400000,11.610000,12.320000,12.320000,2915100
